tipo|sorteo|num1|num2|num3|num4|num5|power|fecha
revancha|2125|19|30|38|39|41|01|02 de Octubre de 2021
baloto|2126|05|20|22|32|35|16|06 de Octubre de 2021
revancha|2126|10|20|25|30|36|16|06 de Octubre de 2021
baloto|2127|05|15|27|34|35|04|09 de Octubre de 2021
revancha|2127|04|08|12|27|41|06|09 de Octubre de 2021
baloto|2128|01|02|11|15|33|12|13 de Octubre de 2021
revancha|2128|02|10|15|22|25|06|13 de Octubre de 2021
baloto|2129|02|08|11|13|22|15|16 de Octubre de 2021
revancha|2129|06|10|25|26|27|06|16 de Octubre de 2021
baloto|2130|11|14|15|22|25|16|20 de Octubre de 2021
revancha|2130|13|14|18|21|39|13|20 de Octubre de 2021
baloto|2131|02|05|07|20|34|14|23 de Octubre de 2021
revancha|2131|01|02|18|19|23|07|23 de Octubre de 2021
baloto|2132|12|14|18|28|40|08|27 de Octubre de 2021
revancha|2132|06|09|16|17|26|06|27 de Octubre de 2021
baloto|2133|17|19|21|24|40|11|30 de Octubre de 2021
revancha|2133|12|19|31|42|43|02|30 de Octubre de 2021
baloto|2134|07|13|17|21|36|01|03 de Noviembre de 2021
revancha|2134|04|12|35|39|43|14|03 de Noviembre de 2021
baloto|2135|04|05|29|37|42|13|06 de Noviembre de 2021
revancha|2135|03|19|26|32|43|11|06 de Noviembre de 2021
baloto|2136|18|35|37|39|42|13|10 de Noviembre de 2021
revancha|2136|05|07|23|34|43|11|10 de Noviembre de 2021
baloto|2137|01|06|16|22|31|16|13 de Noviembre de 2021
revancha|2137|11|12|28|29|32|13|13 de Noviembre de 2021
baloto|2138|06|07|09|18|35|06|17 de Noviembre de 2021
revancha|2138|01|11|22|32|33|12|17 de Noviembre de 2021
baloto|2139|12|15|22|26|28|07|20 de Noviembre de 2021
revancha|2139|01|04|12|13|33|13|20 de Noviembre de 2021
baloto|2140|17|25|29|34|36|12|24 de Noviembre de 2021
revancha|2140|04|07|19|33|39|08|24 de Noviembre de 2021
baloto|2141|09|13|24|29|38|09|27 de Noviembre de 2021
revancha|2141|06|20|24|30|40|16|27 de Noviembre de 2021
baloto|2142|13|15|16|24|43|13|01 de Diciembre de 2021
revancha|2142|09|11|15|20|35|02|01 de Diciembre de 2021
baloto|2143|09|11|22|26|42|15|04 de Diciembre de 2021
revancha|2143|25|27|31|42|43|14|04 de Diciembre de 2021
baloto|2144|01|04|06|12|22|10|08 de Diciembre de 2021
revancha|2144|09|25|33|35|40|07|08 de Diciembre de 2021
baloto|2145|02|08|20|35|38|03|11 de Diciembre de 2021
revancha|2145|09|16|19|29|39|01|11 de Diciembre de 2021
baloto|2146|01|15|20|31|35|15|15 de Diciembre de 2021
revancha|2146|07|25|34|42|43|02|15 de Diciembre de 2021
baloto|2147|02|18|22|24|28|04|18 de Diciembre de 2021
revancha|2147|03|16|22|26|40|12|18 de Diciembre de 2021
baloto|2148|05|11|29|30|43|14|22 de Diciembre de 2021
revancha|2148|05|20|35|38|43|02|22 de Diciembre de 2021
baloto|2149|02|05|16|24|39|15|25 de Diciembre de 2021
revancha|2149|14|15|26|28|40|14|25 de Diciembre de 2021
baloto|2150|08|24|34|38|42|11|29 de Diciembre de 2021
revancha|2150|16|17|24|26|28|04|29 de Diciembre de 2021
baloto|2151|17|19|20|21|26|13|01 de Enero de 2022
revancha|2151|02|08|21|38|43|07|01 de Enero de 2022
baloto|2152|10|33|36|40|43|16|05 de Enero de 2022
revancha|2152|20|21|38|40|43|05|05 de Enero de 2022
baloto|2153|08|11|30|31|38|07|08 de Enero de 2022
revancha|2153|09|16|18|21|27|05|08 de Enero de 2022
baloto|2154|01|02|11|34|41|10|12 de Enero de 2022
revancha|2154|02|12|17|30|32|01|12 de Enero de 2022
baloto|2155|04|13|20|27|42|01|15 de Enero de 2022
revancha|2155|01|05|09|21|24|10|15 de Enero de 2022
baloto|2156|14|17|24|25|41|01|19 de Enero de 2022
revancha|2156|22|24|34|38|43|06|19 de Enero de 2022
baloto|2157|01|05|13|27|30|07|22 de Enero de 2022
revancha|2157|12|14|35|38|40|01|22 de Enero de 2022
baloto|2158|12|15|28|35|38|01|26 de Enero de 2022
revancha|2158|22|24|31|33|34|13|26 de Enero de 2022
baloto|2159|08|18|19|22|32|01|29 de Enero de 2022
revancha|2159|18|24|29|40|41|05|29 de Enero de 2022
baloto|2160|03|09|22|23|36|02|02 de Febrero de 2022
revancha|2160|03|14|15|19|31|07|02 de Febrero de 2022
baloto|2161|05|09|27|38|42|01|05 de Febrero de 2022
revancha|2161|02|11|12|24|43|12|05 de Febrero de 2022
baloto|2162|01|06|24|33|43|08|09 de Febrero de 2022
revancha|2162|02|03|08|15|33|06|09 de Febrero de 2022
baloto|2163|01|07|22|28|38|06|12 de Febrero de 2022
revancha|2163|01|12|13|33|36|03|12 de Febrero de 2022
baloto|2164|14|18|24|37|43|15|16 de Febrero de 2022
revancha|2164|05|08|09|21|42|08|16 de Febrero de 2022
baloto|2165|03|22|27|31|32|10|19 de Febrero de 2022
revancha|2165|07|17|33|35|41|09|19 de Febrero de 2022
baloto|2166|07|13|36|38|42|09|23 de Febrero de 2022
revancha|2166|17|20|23|32|40|02|23 de Febrero de 2022
baloto|2167|03|08|25|36|38|10|26 de Febrero de 2022
revancha|2167|29|32|33|39|43|01|26 de Febrero de 2022
baloto|2168|15|20|26|37|40|13|02 de Marzo de 2022
revancha|2168|03|04|09|19|26|15|02 de Marzo de 2022
baloto|2169|01|04|05|29|33|11|05 de Marzo de 2022
revancha|2169|05|12|18|21|22|02|05 de Marzo de 2022
baloto|2170|17|18|19|27|37|14|09 de Marzo de 2022
revancha|2170|07|09|21|32|35|07|09 de Marzo de 2022
baloto|2171|01|04|10|16|25|15|12 de Marzo de 2022
revancha|2171|02|03|07|24|34|03|12 de Marzo de 2022
baloto|2172|01|11|31|33|36|07|16 de Marzo de 2022
revancha|2172|02|13|16|34|38|16|16 de Marzo de 2022
baloto|2173|09|27|36|39|43|08|19 de Marzo de 2022
revancha|2173|23|28|31|33|38|04|19 de Marzo de 2022
baloto|2174|03|09|37|40|42|11|23 de Marzo de 2022
revancha|2174|16|18|28|30|34|01|23 de Marzo de 2022
baloto|2175|19|23|33|34|40|05|26 de Marzo de 2022
revancha|2175|05|19|24|34|39|13|26 de Marzo de 2022
baloto|2176|04|06|16|36|37|14|30 de Marzo de 2022
revancha|2176|22|29|30|33|40|03|30 de Marzo de 2022
baloto|2177|03|07|08|18|38|07|02 de Abril de 2022
revancha|2177|13|28|33|37|43|14|02 de Abril de 2022
baloto|2178|11|24|33|42|43|15|06 de Abril de 2022
revancha|2178|04|14|28|32|35|15|06 de Abril de 2022
baloto|2179|20|27|31|34|41|09|09 de Abril de 2022
revancha|2179|01|15|27|30|43|03|09 de Abril de 2022
baloto|2180|07|09|16|23|28|12|13 de Abril de 2022
revancha|2180|07|10|13|28|31|02|13 de Abril de 2022
baloto|2181|01|05|08|17|30|15|16 de Abril de 2022
revancha|2181|13|14|27|28|39|13|16 de Abril de 2022
baloto|2182|13|16|35|38|42|03|20 de Abril de 2022
revancha|2182|05|12|18|32|36|12|20 de Abril de 2022
baloto|2183|06|16|28|39|40|02|23 de Abril de 2022
revancha|2183|03|23|29|30|38|03|23 de Abril de 2022
baloto|2184|04|09|20|25|43|14|27 de Abril de 2022
